gameDate,gameTime,awayTeam,homeTeam,predictedWinner,actualWinner,winnerHit,awayWinProbability,homeWinProbability,predictedAwayScore,predictedHomeScore,actualAwayScore,actualHomeScore,actualTotal,predictedTotal,predictedScoreMae,expectedAwayRuns,expectedHomeRuns,saberExpectedMae,markovAwayRuns,markovHomeRuns,markovMae,monteCarloAwayRuns,monteCarloHomeRuns,monteCarloMae,saberApplied,totalBand,edgeBand,over85Prob,over85Hit
20260331,18:30,KIA,LG,KIA,KIA,true,0.95,0.05,4,3,7,2,9,7,2,3.9,4.2,2.6500000000000004,2.436,3.54,3.052,2.336,3.481,3.0725,true,mid_total,strong_edge,0.21,true
20260331,18:30,키움,SSG,SSG,SSG,true,0.05,0.95,4,8,3,9,12,12,1,4.4,7.6,1.4000000000000004,3.395,7.004,1.1955000000000002,3.364,6.998,1.1829999999999998,true,high_total,strong_edge,0.594,true
20260331,18:30,롯데,NC,NC,NC,true,0.05,0.95,2,6,2,9,11,8,1.5,3.5,5.3,2.6,4.055,3.769,3.643,4.041,3.851,3.595,true,high_total,strong_edge,0.409,true
20260331,18:30,KT,한화,KT,KT,true,0.95,0.05,9,5,9,4,13,14,0.5,7.6,6.4,1.9000000000000004,6.896,6.394,2.249,6.831,6.184,2.1765,true,high_total,strong_edge,0.768,true
20260331,18:30,두산,삼성,두산,,false,0.891,0.109,4,3,5,5,10,7,1.5,3.7,4.8,0.75,2.693,3.158,2.0745,2.66,3.047,2.1464999999999996,true,mid_total,strong_edge,0.179,true
20260401,18:30,KIA,LG,LG,LG,true,0.05,0.95,2,6,2,7,9,8,0.5,3.6,4.6,2,2.435,3.524,1.9555,2.488,3.45,2.019,true,mid_total,strong_edge,0.203,true
20260401,18:30,키움,SSG,키움,키움,true,0.95,0.05,6,5,11,2,13,11,4,4.6,7.3,5.85,3.372,7.004,6.316,3.346,6.918,6.286,true,high_total,strong_edge,0.599,true
20260401,18:30,두산,삼성,삼성,삼성,true,0.05,0.95,2,6,3,13,16,8,4,3.6,5.2,4.2,2.692,3.165,5.0715,2.523,3.278,5.0995,true,high_total,strong_edge,0.204,true
20260401,18:30,롯데,NC,NC,NC,true,0.05,0.95,2,6,4,5,9,8,1.5,3.6,5.5,0.44999999999999996,4.055,3.769,0.6429999999999998,4.073,3.761,0.6560000000000001,true,mid_total,strong_edge,0.37,true
20260401,18:30,KT,한화,KT,KT,true,0.95,0.05,9,5,14,11,25,14,5.5,7.5,6.7,5.4,6.9,6.394,5.853,6.86,6.53,5.805,true,high_total,strong_edge,0.777,true
20260402,18:30,KIA,LG,LG,LG,true,0.05,0.95,2,6,1,2,3,8,2.5,3.5,4.5,2.5,2.436,3.559,1.4975,2.319,3.834,1.5765,true,low_total,strong_edge,0.236,false
20260402,18:30,키움,SSG,SSG,SSG,true,0.05,0.95,4,8,1,11,12,12,3,4.4,7.7,3.35,3.379,7.085,3.1470000000000002,3.412,6.778,3.317,true,high_total,strong_edge,0.602,true
20260402,18:30,롯데,NC,NC,NC,true,0.05,0.95,2,6,4,8,12,8,2,3.6,5.6,1.4000000000000001,4.063,3.768,2.1475,4.146,3.74,2.203,true,high_total,strong_edge,0.412,true
20260402,18:30,KT,한화,KT,KT,true,0.95,0.05,9,5,13,8,21,14,3.5,7.8,6.6,3.3000000000000003,6.92,6.399,3.8405,7.09,6.42,3.745,true,high_total,strong_edge,0.803,true
20260402,18:30,두산,삼성,삼성,삼성,true,0.071,0.929,2,6,2,5,7,8,0.5,3.6,5,0.8,2.686,3.167,1.2595,2.623,3.152,1.2355,true,low_total,strong_edge,0.209,false
20260403,18:30,SSG,롯데,SSG,SSG,true,0.95,0.05,8,4,17,2,19,12,5.5,7.7,4.4,5.8500000000000005,7.06,4.063,6.0015,6.8,4,6.1,true,high_total,strong_edge,0.634,true
20260403,18:30,NC,KIA,NC,NC,true,0.95,0.05,6,2,5,2,7,8,0.5,4.5,2.7,0.6000000000000001,3.783,2.438,0.8275000000000001,3.869,2.616,0.8734999999999999,true,low_total,strong_edge,0.26,false
20260403,18:30,LG,키움,키움,키움,true,0.05,0.95,3,7,2,5,7,10,1.5,4.9,4.9,1.5,3.559,3.384,1.5875000000000001,3.531,3.317,1.607,true,low_total,strong_edge,0.296,false
20260403,18:30,삼성,KT,삼성,삼성,true,0.839,0.161,5,4,2,1,3,9,3,4.4,6,3.7,3.165,6.865,3.515,3.202,6.803,3.5025,true,low_total,strong_edge,0.583,false
20260403,18:30,한화,두산,한화,한화,true,0.656,0.344,8,5,11,6,17,13,2,7.1,6.6,2.25,6.394,2.702,3.952,6.313,2.654,4.016500000000001,true,high_total,strong_edge,0.469,true
